Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,PCLK,Channel 15
11.359970472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359970592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359970976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359971088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359971472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359971592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359971976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359972088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359972472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359972592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359972976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359973088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359973472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359973584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359973976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359974088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359974472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359974584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359974976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359975088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359975472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359975584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359975976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359976088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359976472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359976584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359976968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359977088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359977472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359977584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359977976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359978088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359978472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359978584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359978976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359979088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359979472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359979584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359979968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359980088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359980472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359980584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359980976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359981088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359981472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359981584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359981968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359982088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359982472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359982584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359982968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359983088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359983472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359983584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359983968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359984088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359984472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359984584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359984968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359985088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359985472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359985584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359985968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359986088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359986472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359986584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359986968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359987088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359987472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359987584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359987968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359988088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359988472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359988584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359988968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359989088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359989472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
